label,nine_partition_label,three_partition_label,url,url_alphanum
melanoma,malignant melanoma,malignant,https://www.dermaamin.com/site/images/clinical-pic/m/melanoma/melanoma17.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmelanomamelanoma17jpg.jpg
dermatofibroma,benign dermal,benign,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma13.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatofibromadermatofibroma13jpg.jpg
actinic keratosis,malignant epidermal,malignant,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses83.jpg,httpwwwdermaamincomsiteimagesclinicalpicaactinickeratosesactinickeratoses83jpg.jpg
scleroderma,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/L/localized-scleroderma/localized-scleroderma3.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlocalizedsclerodermalocalizedscleroderma3jpg.jpg
hidradenitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa18.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidradenitissuppurativahidradenitissuppurativa18jpg.jpg
syringoma,benign dermal,benign,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma33.jpg,httpwwwdermaamincomsiteimagesclinicalpicssyringomasyringoma33jpg.jpg
folliculitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/f/folliculitis/folliculitis89.jpg,httpwwwdermaamincomsiteimagesclinicalpicffolliculitisfolliculitis89jpg.jpg
pityriasis lichenoides chronica,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica31.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasislichenoidchronicapityriasislichenoidchronica31jpg.jpg
porphyria,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda100.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporphyriacutaneatardaporphyriacutaneatarda100jpg.jpg
dyshidrotic eczema,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/h/hidrotic_ectodermal_dysplasia/hidrotic_ectodermal_dysplasia4.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidroticectodermaldysplasiahidroticectodermaldysplasia4jpg.jpg
allergic contact dermatitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/r/rhus_dermatitis/rhus_dermatitis39.jpg,httpwwwdermaamincomsiteimagesclinicalpicrrhusdermatitisrhusdermatitis39jpg.jpg
seborrheic dermatitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/seborrheic-dermatitis/seborrheic-dermatitis52.jpg,httpwwwdermaamincomsiteimagesclinicalpicsseborrheicdermatitisseborrheicdermatitis52jpg.jpg
prurigo nodularis,benign epidermal,benign,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis27.jpg,httpwwwdermaamincomsiteimagesclinicalpicpprurigonodularisprurigonodularis27jpg.jpg
acne,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/a/acne_aggravated_by_steroids/acne_aggravated_by_steroids7.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacneaggravatedbysteroidsacneaggravatedbysteroids7jpg.jpg
neurofibromatosis,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome90.jpg,httpwwwdermaamincomsiteimagesclinicalpicnneurofibromatosisvonrecklinghausensyndromeneurofibromatosisvonrecklinghausensyndrome90jpg.jpg
eczema,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema99.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeczemaeczema99jpg.jpg
neurofibromatosis,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome37.jpg,httpwwwdermaamincomsiteimagesclinicalpicnneurofibromatosisvonrecklinghausensyndromeneurofibromatosisvonrecklinghausensyndrome37jpg.jpg
pediculosis lids,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/pediculosis-capitis/pediculosis-capitis3.jpg,httpwwwdermaamincomsiteimagesclinicalpicppediculosiscapitispediculosiscapitis3jpg.jpg
basal cell carcinoma,malignant epidermal,malignant,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma/basal_cell_carcinoma33.jpg,httpwwwdermaamincomsiteimagesclinicalpicbbasalcellcarcinomabasalcellcarcinoma33jpg.jpg
pityriasis rubra pilaris,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rubra_pilaris/pityriasis_rubra_pilaris62.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasisrubrapilarispityriasisrubrapilaris62jpg.jpg
pityriasis rosea,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea6.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasisroseapityriasisrosea6jpg.jpg
livedo reticularis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/L/livedo-reticularis/livedo-reticularis26.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlivedoreticularislivedoreticularis26jpg.jpg
necrobiosis lipoidica,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum55.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioislipoidicadiabeticorumnecrobioislipoidicadiabeticorum55jpg.jpg
stevens johnson syndrome,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/stephen-johnson-syndrome/stephen-johnson-syndrome27.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstephenjohnsonsyndromestephenjohnsonsyndrome27jpg.jpg
erythema multiforme,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_multiforme/erythema_multiforme11.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemamultiformeerythemamultiforme11jpg.jpg
syringoma,benign dermal,benign,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma37.jpg,httpwwwdermaamincomsiteimagesclinicalpicssyringomasyringoma37jpg.jpg
acrodermatitis enteropathica,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica52.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacrodermatitisenteropathicaacrodermatitisenteropathica52jpg.jpg
epidermolysis bullosa,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/e/epidermolysis_bullosa_simplex_of_weber_cockayne_type/epidermolysis_bullosa_simplex_of_weber_cockayne_type1.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermolysisbullosasimplexofwebercockaynetypeepidermolysisbullosasimplexofwebercockaynetype1jpg.jpg
psoriasis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-congenital/psoriasis-congenital4.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasiscongenitalpsoriasiscongenital4jpg.jpg
prurigo nodularis,benign epidermal,benign,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis97.jpg,httpwwwdermaamincomsiteimagesclinicalpicpprurigonodularisprurigonodularis97jpg.jpg
dermatomyositis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/d/dermatomyositis/dermatomyositis89.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatomyositisdermatomyositis89jpg.jpg
actinic keratosis,malignant epidermal,malignant,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses26.jpg,httpwwwdermaamincomsiteimagesclinicalpicaactinickeratosesactinickeratoses26jpg.jpg
urticaria,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/d/dermographic_urticaria/dermographic_urticaria31.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermographicurticariadermographicurticaria31jpg.jpg
basal cell carcinoma morpheiform,malignant epidermal,malignant,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma_morpheiform/basal_cell_carcinoma_morpheiform6.jpg,httpwwwdermaamincomsiteimagesclinicalpicbbasalcellcarcinomamorpheiformbasalcellcarcinomamorpheiform6jpg.jpg
necrobiosis lipoidica,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum30.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnecrobioislipoidicadiabeticorumnecrobioislipoidicadiabeticorum30jpg.jpg
vitiligo,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/v/vitiligo/vitiligo10.jpg,httpwwwdermaamincomsiteimagesclinicalpicvvitiligovitiligo10jpg.jpg
erythema nodosum,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/e/erythema-nodosum/erythema-nodosum69.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemanodosumerythemanodosum69jpg.jpg
psoriasis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-pustular/psoriasis-pustular54.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasispustularpsoriasispustular54jpg.jpg
psoriasis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_nail/psoriasis_nail84.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisnailpsoriasisnail84jpg.jpg
scleroderma,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/scleredema/scleredema28.jpg,httpwwwdermaamincomsiteimagesclinicalpicsscleredemascleredema28jpg.jpg
lupus erythematosus,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/L/lupus_erythematosus_chronicus_verrucous/lupus_erythematosus_chronicus_verrucous11.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlupuserythematosuschronicusverrucouslupuserythematosuschronicusverrucous11jpg.jpg
lichen planus,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_follicularis/lichen_planus_follicularis13.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlichenplanusfollicularislichenplanusfollicularis13jpg.jpg
psoriasis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_nail/psoriasis_nail97.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisnailpsoriasisnail97jpg.jpg
allergic contact dermatitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis53.jpg,httpwwwdermaamincomsiteimagesclinicalpicaallergiccontactdermatitisallergiccontactdermatitis53jpg.jpg
sun damaged skin,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/h/hot_water_burn/hot_water_burn1.jpg,httpwwwdermaamincomsiteimagesclinicalpichhotwaterburnhotwaterburn1jpg.jpg
drug eruption,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption141.jpg,httpwwwdermaamincomsiteimagesclinicalpicddrugeruptiondrugeruption141jpg.jpg
dermatofibroma,benign dermal,benign,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma57.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatofibromadermatofibroma57jpg.jpg
xeroderma pigmentosum,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum14.jpg,httpwwwdermaamincomsiteimagesclinicalpicXxerodermapigmentosumxerodermapigmentosum14jpg.jpg
neutrophilic dermatoses,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/pyoderma-gangrenosum/pyoderma-gangrenosum119.jpg,httpwwwdermaamincomsiteimagesclinicalpicppyodermagangrenosumpyodermagangrenosum119jpg.jpg
scabies,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies43.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnorwegianscabiesnorwegianscabies43jpg.jpg
cheilitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/m/melkersson-rosenthal-syndrome/melkersson-rosenthal-syndrome3.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmelkerssonrosenthalsyndromemelkerssonrosenthalsyndrome3jpg.jpg
urticaria pigmentosa,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa19.jpg,httpwwwdermaamincomsiteimagesclinicalpicuurticariapigmentosaurticariapigmentosa19jpg.jpg
behcets disease,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/b/behcets_disease/behcets_disease4.jpg,httpwwwdermaamincomsiteimagesclinicalpicbbehcetsdiseasebehcetsdisease4jpg.jpg
nevocytic nevus,benign melanocyte,benign,https://www.dermaamin.com/site/images/clinical-pic/n/nevocyticn-nevus/nevocyticn-nevus15.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnevocyticnnevusnevocyticnnevus15jpg.jpg
mycosis fungoides,malignant cutaneous lymphoma,malignant,https://www.dermaamin.com/site/images/clinical-pic/m/mycosis-fongoide/mycosis-fongoide99.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmycosisfongoidemycosisfongoide99jpg.jpg
porphyria,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda51.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporphyriacutaneatardaporphyriacutaneatarda51jpg.jpg
neutrophilic dermatoses,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome53.jpg,httpwwwdermaamincomsiteimagesclinicalpicssweetsyndromesweetsyndrome53jpg.jpg
superficial spreading melanoma ssm,malignant melanoma,malignant,https://www.dermaamin.com/site/images/clinical-pic/s/superfacial-spreading-melanoma/superfacial-spreading-melanoma112.jpg,httpwwwdermaamincomsiteimagesclinicalpicssuperfacialspreadingmelanomasuperfacialspreadingmelanoma112jpg.jpg
porokeratosis of mibelli,benign epidermal,benign,https://www.dermaamin.com/site/images/clinical-pic/p/porokeratosis_of_mibelli/porokeratosis_of_mibelli56.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporokeratosisofmibelliporokeratosisofmibelli56jpg.jpg
psoriasis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-genital/psoriasis-genital7.jpg,httpwwwdermaamincomsiteimagesclinicalpicppsoriasisgenitalpsoriasisgenital7jpg.jpg
juvenile xanthogranuloma,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/J/juvenile-xanthogranuloma/juvenile-xanthogranuloma57.jpg,httpwwwdermaamincomsiteimagesclinicalpicJjuvenilexanthogranulomajuvenilexanthogranuloma57jpg.jpg
milia,benign epidermal,benign,https://www.dermaamin.com/site/images/clinical-pic/m/miliaria/miliaria20.jpg,httpwwwdermaamincomsiteimagesclinicalpicmmiliariamiliaria20jpg.jpg
granuloma pyogenic,benign dermal,benign,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_pyogenicum/granuloma_pyogenicum10.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomapyogenicumgranulomapyogenicum10jpg.jpg
papilomatosis confluentes and reticulate,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/papillomatosis_confluent_reticulated/papillomatosis_confluent_reticulated18.jpg,httpwwwdermaamincomsiteimagesclinicalpicppapillomatosisconfluentreticulatedpapillomatosisconfluentreticulated18jpg.jpg
sarcoidosis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis-small-nodular-type/sarcoidosis-small-nodular-type1.jpg,httpwwwdermaamincomsiteimagesclinicalpicssarcoidosissmallnodulartypesarcoidosissmallnodulartype1jpg.jpg
neurotic excoriations,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/neurotic-excoriations/neurotic-excoriations39.jpg,httpwwwdermaamincomsiteimagesclinicalpicnneuroticexcoriationsneuroticexcoriations39jpg.jpg
neurofibromatosis,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome50.jpg,httpwwwdermaamincomsiteimagesclinicalpicnneurofibromatosisvonrecklinghausensyndromeneurofibromatosisvonrecklinghausensyndrome50jpg.jpg
epidermal nevus,benign epidermal,benign,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus53.jpg,httpwwwdermaamincomsiteimagesclinicalpiceepidermalnaevusepidermalnaevus53jpg.jpg
drug eruption,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption135.jpg,httpwwwdermaamincomsiteimagesclinicalpicddrugeruptiondrugeruption135jpg.jpg
hidradenitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa45.jpg,httpwwwdermaamincomsiteimagesclinicalpichhidradenitissuppurativahidradenitissuppurativa45jpg.jpg
dermatomyositis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/d/dermatomyositis/dermatomyositis97.jpg,httpwwwdermaamincomsiteimagesclinicalpicddermatomyositisdermatomyositis97jpg.jpg
sun damaged skin,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/sun-burn/sun-burn27.jpg,httpwwwdermaamincomsiteimagesclinicalpicssunburnsunburn27jpg.jpg
lupus erythematosus,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/subacute-cutaneous-lupus-erythematosus/subacute-cutaneous-lupus-erythematosus45.jpg,httpwwwdermaamincomsiteimagesclinicalpicssubacutecutaneouslupuserythematosussubacutecutaneouslupuserythematosus45jpg.jpg
naevus comedonicus,benign epidermal,benign,https://www.dermaamin.com/site/images/clinical-pic/n/naevus_comedonicus/naevus_comedonicus20.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnaevuscomedonicusnaevuscomedonicus20jpg.jpg
erythema annulare centrifigum,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_annulare_centrifugum/erythema_annulare_centrifugum19.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemaannularecentrifugumerythemaannularecentrifugum19jpg.jpg
pilar cyst,benign dermal,benign,https://www.dermaamin.com/site/images/clinical-pic/e/eyelid_dermoid/eyelid_dermoid2.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeyeliddermoideyeliddermoid2jpg.jpg
eczema,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema48.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeczemaeczema48jpg.jpg
pustular psoriasis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/pustular_psoriasis/pustular_psoriasis25.jpg,httpwwwdermaamincomsiteimagesclinicalpicppustularpsoriasispustularpsoriasis25jpg.jpg
scabies,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies65.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnorwegianscabiesnorwegianscabies65jpg.jpg
basal cell carcinoma,malignant epidermal,malignant,https://www.dermaamin.com/site/images/clinical-pic/c/carcinoma_basal_cell/carcinoma_basal_cell10.jpg,httpwwwdermaamincomsiteimagesclinicalpicccarcinomabasalcellcarcinomabasalcell10jpg.jpg
ichthyosis vulgaris,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/I/ichthyosis_vulgaris/ichthyosis_vulgaris20.jpg,httpwwwdermaamincomsiteimagesclinicalpicIichthyosisvulgarisichthyosisvulgaris20jpg.jpg
lyme disease,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/L/lyme-disease/lyme-disease15.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlymediseaselymedisease15jpg.jpg
striae,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/s/striae-distensae/striae-distensae33.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstriaedistensaestriaedistensae33jpg.jpg
lupus erythematosus,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/L/lupus-erythematosus-tumidus/lupus-erythematosus-tumidus1.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlupuserythematosustumiduslupuserythematosustumidus1jpg.jpg
sarcoidosis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/d/discoid_le/discoid_le19.jpg,httpwwwdermaamincomsiteimagesclinicalpicddiscoidlediscoidle19jpg.jpg
rhinophyma,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/r/rhinophyma/rhinophyma41.jpg,httpwwwdermaamincomsiteimagesclinicalpicrrhinophymarhinophyma41jpg.jpg
folliculitis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/p/pseudofolliculitis-barbae/pseudofolliculitis-barbae24.jpg,httpwwwdermaamincomsiteimagesclinicalpicppseudofolliculitisbarbaepseudofolliculitisbarbae24jpg.jpg
sarcoidosis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/d/discoid_le/discoid_le16.jpg,httpwwwdermaamincomsiteimagesclinicalpicddiscoidlediscoidle16jpg.jpg
vitiligo,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/v/vitiligo/vitiligo39.jpg,httpwwwdermaamincomsiteimagesclinicalpicvvitiligovitiligo39jpg.jpg
xeroderma pigmentosum,genodermatoses,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum37.jpg,httpwwwdermaamincomsiteimagesclinicalpicXxerodermapigmentosumxerodermapigmentosum37jpg.jpg
basal cell carcinoma,malignant epidermal,malignant,https://www.dermaamin.com/site/images/clinical-pic/g/gorlin_syndrome/gorlin_syndrome3.jpg,httpwwwdermaamincomsiteimagesclinicalpicggorlinsyndromegorlinsyndrome3jpg.jpg
calcinosis cutis,inflammatory,non-neoplastic,https://www.dermaamin.com/site/images/clinical-pic/c/calcinosis_cutis/calcinosis_cutis30.jpg,httpwwwdermaamincomsiteimagesclinicalpicccalcinosiscutiscalcinosiscutis30jpg.jpg
