,label,url
83,neurotic excoriations,https://www.dermaamin.com/site/images/clinical-pic/n/neurotic-excoriations/neurotic-excoriations39.jpg
84,neurofibromatosis,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome50.jpg
85,epidermal nevus,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus53.jpg
86,drug eruption,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption135.jpg
87,hidradenitis,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa45.jpg
88,dermatomyositis,https://www.dermaamin.com/site/images/clinical-pic/d/dermatomyositis/dermatomyositis97.jpg
89,sun damaged skin,https://www.dermaamin.com/site/images/clinical-pic/s/sun-burn/sun-burn27.jpg
90,lupus erythematosus,https://www.dermaamin.com/site/images/clinical-pic/s/subacute-cutaneous-lupus-erythematosus/subacute-cutaneous-lupus-erythematosus45.jpg
91,naevus comedonicus,https://www.dermaamin.com/site/images/clinical-pic/n/naevus_comedonicus/naevus_comedonicus20.jpg
92,erythema annulare centrifigum,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_annulare_centrifugum/erythema_annulare_centrifugum19.jpg
93,pilar cyst,https://www.dermaamin.com/site/images/clinical-pic/e/eyelid_dermoid/eyelid_dermoid2.jpg
94,eczema,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema48.jpg
95,pustular psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/pustular_psoriasis/pustular_psoriasis25.jpg
96,scabies,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies65.jpg
97,basal cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/c/carcinoma_basal_cell/carcinoma_basal_cell10.jpg
98,ichthyosis vulgaris,https://www.dermaamin.com/site/images/clinical-pic/I/ichthyosis_vulgaris/ichthyosis_vulgaris20.jpg
99,lyme disease,https://www.dermaamin.com/site/images/clinical-pic/L/lyme-disease/lyme-disease15.jpg
100,striae,https://www.dermaamin.com/site/images/clinical-pic/s/striae-distensae/striae-distensae33.jpg
101,lupus erythematosus,https://www.dermaamin.com/site/images/clinical-pic/L/lupus-erythematosus-tumidus/lupus-erythematosus-tumidus1.jpg
102,sarcoidosis,https://www.dermaamin.com/site/images/clinical-pic/d/discoid_le/discoid_le19.jpg
103,rhinophyma,https://www.dermaamin.com/site/images/clinical-pic/r/rhinophyma/rhinophyma41.jpg
104,folliculitis,https://www.dermaamin.com/site/images/clinical-pic/p/pseudofolliculitis-barbae/pseudofolliculitis-barbae24.jpg
105,sarcoidosis,https://www.dermaamin.com/site/images/clinical-pic/d/discoid_le/discoid_le16.jpg
106,vitiligo,https://www.dermaamin.com/site/images/clinical-pic/v/vitiligo/vitiligo39.jpg
107,xeroderma pigmentosum,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum37.jpg
108,basal cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/g/gorlin_syndrome/gorlin_syndrome3.jpg
109,calcinosis cutis,https://www.dermaamin.com/site/images/clinical-pic/c/calcinosis_cutis/calcinosis_cutis30.jpg
110,allergic contact dermatitis,https://www.dermaamin.com/site/images/clinical-pic/p/patch-testing/patch-testing1.jpg
111,stasis edema,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-ulcer/stasis-ulcer6.jpg
112,kaposi sarcoma,https://www.dermaamin.com/site/images/clinical-pic/k/kaposis-sarcoma/kaposis-sarcoma58.jpg
113,porphyria,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda44.jpg
114,neurodermatitis,https://www.dermaamin.com/site/images/clinical-pic/n/nummula-dermatitis/nummula-dermatitis22.jpg
115,acne,https://www.dermaamin.com/site/images/clinical-pic/a/acne_comedonal/acne_comedonal7.jpg
116,acne vulgaris,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris7.jpg
117,congenital nevus,https://www.dermaamin.com/site/images/clinical-pic/c/congential_nevus/congential_nevus55.jpg
118,behcets disease,https://www.dermaamin.com/site/images/clinical-pic/b/buerger_disease/buerger_disease4.jpg
119,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/p/pyoderma-gangrenosum/pyoderma-gangrenosum72.jpg
120,pilar cyst,https://www.dermaamin.com/site/images/clinical-pic/I/infarct-vasc/infarct-vasc1.jpg
121,lyme disease,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_migrans/erythema_migrans6.jpg
122,photodermatoses,https://www.dermaamin.com/site/images/clinical-pic/p/photoallergiccontact-dermatitis/photoallergiccontact-dermatitis11.jpg
123,squamous cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/s/squamous-cell-carcinoma/squamous-cell-carcinoma94.jpg
124,mucinosis,https://www.dermaamin.com/site/images/clinical-pic/m/mononucleosis/mononucleosis2.jpg
125,allergic contact dermatitis,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis42.jpg
126,eczema,https://www.dermaamin.com/site/images/clinical-pic/e/eczema_atopic/eczema_atopic38.jpg
127,keratosis pilaris,https://www.dermaamin.com/site/images/clinical-pic/k/keratosis-pilaris/keratosis-pilaris28.jpg
128,urticaria,https://www.dermaamin.com/site/images/clinical-pic/u/urticaire/urticaire13.jpg
129,keloid,https://www.dermaamin.com/site/images/clinical-pic/c/cheloide/cheloide9.jpg
130,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/s/sebopsoriasis/sebopsoriasis1.jpg
131,tuberous sclerosis,https://www.dermaamin.com/site/images/clinical-pic/t/tuberous_sclerosis/tuberous_sclerosis93.jpg
132,sarcoidosis,https://www.dermaamin.com/site/images/clinical-pic/c/carcinoid/carcinoid1.jpg
133,lichen planus,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus/lichen_planus8.jpg
134,milia,https://www.dermaamin.com/site/images/clinical-pic/m/miliaria/miliaria44.jpg
135,striae,https://www.dermaamin.com/site/images/clinical-pic/s/striae-distensae/striae-distensae6.jpg
136,acquired autoimmune bullous diseaseherpes gestationis,https://www.dermaamin.com/site/images/clinical-pic/h/herpes_gestationis/herpes_gestationis41.jpg
137,basal cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/c/carcinome_basocellulaire_nodulaire/carcinome_basocellulaire_nodulaire7.jpg
138,fixed eruptions,https://www.dermaamin.com/site/images/clinical-pic/f/fixed_drug_eruption/fixed_drug_eruption36.jpg
139,lentigo maligna,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna36.jpg
140,lentigo maligna,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna64.jpg
141,urticaria,https://www.dermaamin.com/site/images/clinical-pic/u/urticaire/urticaire10.jpg
142,rhinophyma,https://www.dermaamin.com/site/images/clinical-pic/r/rhinophyma/rhinophyma36.jpg
143,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/n/neutrophilic-dermatosis/neutrophilic-dermatosis6.jpg
144,granuloma pyogenic,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_pyogenicum/granuloma_pyogenicum1.jpg
146,dariers disease,https://www.dermaamin.com/site/images/clinical-pic/a/addison_disease/addison_disease10.jpg
147,neurotic excoriations,https://www.dermaamin.com/site/images/clinical-pic/c/creeping_neurotic_excoriations/creeping_neurotic_excoriations3.jpg
148,dermatofibroma,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma84.jpg
149,allergic contact dermatitis,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis98.jpg
150,folliculitis,https://www.dermaamin.com/site/images/clinical-pic/h/hot_tub_folliculitis/hot_tub_folliculitis8.jpg
151,papilomatosis confluentes and reticulate,https://www.dermaamin.com/site/images/clinical-pic/p/papillomatosis-cutis-carcinoides/papillomatosis-cutis-carcinoides19.jpg
152,eczema,https://www.dermaamin.com/site/images/clinical-pic/e/eczema_atopic/eczema_atopic31.jpg
153,nematode infection,https://www.dermaamin.com/site/images/clinical-pic/L/larva-migrans/larva-migrans103.jpg
154,dariers disease,https://www.dermaamin.com/site/images/clinical-pic/d/dariers_disease/dariers_disease31.jpg
155,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis78.jpg
156,pilar cyst,https://www.dermaamin.com/site/images/clinical-pic/p/pilar-cyst/pilar-cyst2.jpg
157,lymphangioma,https://www.dermaamin.com/site/images/clinical-pic/L/lymphangioma/lymphangioma52.jpg
158,urticaria pigmentosa,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa9.jpg
159,neurodermatitis,https://www.dermaamin.com/site/images/clinical-pic/n/nummula-dermatitis/nummula-dermatitis24.jpg
160,photodermatoses,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis77.jpg
161,pityriasis rosea,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea46.jpg
162,behcets disease,https://www.dermaamin.com/site/images/clinical-pic/b/behcets_disease/behcets_disease41.jpg
163,drug induced pigmentary changes,https://www.dermaamin.com/site/images/clinical-pic/h/hypopigmented_macule/hypopigmented_macule8.jpg
164,pilar cyst,https://www.dermaamin.com/site/images/clinical-pic/p/pilar-cyst/pilar-cyst5.jpg
165,dariers disease,https://www.dermaamin.com/site/images/clinical-pic/a/addison_disease/addison_disease7.jpg
166,pilomatricoma,https://www.dermaamin.com/site/images/clinical-pic/p/pilomatrixoma/pilomatrixoma45.jpg
167,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_guttate/psoriasis_guttate14.jpg
168,lentigo maligna,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna81.jpg
169,lupus subacute,https://www.dermaamin.com/site/images/clinical-pic/s/systemic-lupus-erythematosus/systemic-lupus-erythematosus26.jpg
170,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome82.jpg
171,drug eruption,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption65.jpg
172,lichen simplex,https://www.dermaamin.com/site/images/clinical-pic/c/chicken_pox/chicken_pox27.jpg
173,perioral dermatitis,https://www.dermaamin.com/site/images/clinical-pic/p/perioral-dermatitis/perioral-dermatitis25.jpg
174,sarcoidosis,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis/sarcoidosis55.jpg
175,disseminated actinic porokeratosis,https://www.dermaamin.com/site/images/clinical-pic/d/disseminated_intravascular_coagulation/disseminated_intravascular_coagulation3.jpg
176,keloid,https://www.dermaamin.com/site/images/clinical-pic/c/cheloide/cheloide6.jpg
177,drug eruption,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption155.jpg
178,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome64.jpg
179,squamous cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/k/keratoacanthoma/keratoacanthoma101.jpg
180,keloid,https://www.dermaamin.com/site/images/clinical-pic/k/kekoid/kekoid47.jpg
181,scleroderma,https://www.dermaamin.com/site/images/clinical-pic/L/linear-scleroderma/linear-scleroderma13.jpg
182,erythema elevatum diutinum,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_elevatum_diutinum/erythema_elevatum_diutinum16.jpg
183,halo nevus,https://www.dermaamin.com/site/images/clinical-pic/h/halo_naevus/halo_naevus40.jpg
184,squamous cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/k/keratoacanthoma/keratoacanthoma93.jpg
185,dermatofibroma,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma33.jpg
186,acne vulgaris,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris333.jpg
187,disseminated actinic porokeratosis,https://www.dermaamin.com/site/images/clinical-pic/d/disseminated_superficial_actinic_porokeratosis/disseminated_superficial_actinic_porokeratosis56.jpg
188,scleroderma,https://www.dermaamin.com/site/images/clinical-pic/p/progressive-systemic-scleroderma/progressive-systemic-scleroderma5.jpg
189,keloid,https://www.dermaamin.com/site/images/clinical-pic/k/kekoid/kekoid115.jpg
190,sarcoidosis,https://www.dermaamin.com/site/images/clinical-pic/s/solar-comidon/solar-comidon5.jpg
191,photodermatoses,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis13.jpg
192,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/g/generalised_pustular_psoriasis/generalised_pustular_psoriasis2.jpg
193,aplasia cutis,https://www.dermaamin.com/site/images/clinical-pic/a/aplasia_cutis_congenita_circumscripta/aplasia_cutis_congenita_circumscripta37.jpg
194,basal cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/c/carcinoma_basal_cell/carcinoma_basal_cell3.jpg
195,allergic contact dermatitis,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis67.jpg
196,lyme disease,https://www.dermaamin.com/site/images/clinical-pic/e/erythem_achronicum_migrans/erythem_achronicum_migrans45.jpg
197,incontinentia pigmenti,https://www.dermaamin.com/site/images/clinical-pic/I/incontinentia_pigmenti/incontinentia_pigmenti14.jpg
198,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/s/sturge-weber_syndrome/sturge-weber_syndrome8.jpg
199,neutrophilic dermatoses,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome84.jpg
200,basal cell carcinoma morpheiform,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma_morpheiform/basal_cell_carcinoma_morpheiform48.jpg
201,lichen planus,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_actinic/lichen_planus_actinic16.jpg
202,halo nevus,https://www.dermaamin.com/site/images/clinical-pic/o/ota-nevus/ota-nevus14.jpg
203,lentigo maligna,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna50.jpg
204,urticaria,https://www.dermaamin.com/site/images/clinical-pic/p/papular-urticaria/papular-urticaria6.jpg
205,stevens johnson syndrome,https://www.dermaamin.com/site/images/clinical-pic/s/stephen-johnson-syndrome/stephen-johnson-syndrome13.jpg
206,stevens johnson syndrome,https://www.dermaamin.com/site/images/clinical-pic/s/stephen-johnson-syndrome/stephen-johnson-syndrome2.jpg
207,tick bite,https://www.dermaamin.com/site/images/clinical-pic/t/tick-bite/tick-bite17.jpg
208,porokeratosis of mibelli,https://www.dermaamin.com/site/images/clinical-pic/p/porokeratosis_of_mibelli/porokeratosis_of_mibelli23.jpg
209,cheilitis,https://www.dermaamin.com/site/images/clinical-pic/c/cheilitis/cheilitis8.jpg
210,naevus comedonicus,https://www.dermaamin.com/site/images/clinical-pic/n/naevus_comedonicus/naevus_comedonicus30.jpg
211,acne vulgaris,https://www.dermaamin.com/site/images/clinical-pic/d/dracunculiasis/dracunculiasis2.jpg
212,fordyce spots,https://www.dermaamin.com/site/images/clinical-pic/f/fordyce-spots/fordyce-spots24.jpg
213,scleroderma,https://www.dermaamin.com/site/images/clinical-pic/s/systemic-sclerosis/systemic-sclerosis1.jpg
214,basal cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinomas_cystic/basal_cell_carcinomas_cystic13.jpg
215,cheilitis,https://www.dermaamin.com/site/images/clinical-pic/m/melkersson-rosenthal-syndrome/melkersson-rosenthal-syndrome8.jpg
216,tick bite,https://www.dermaamin.com/site/images/clinical-pic/s/stork_bite/stork_bite1.jpg
217,fixed eruptions,https://www.dermaamin.com/site/images/clinical-pic/f/fixed_drug_eruption/fixed_drug_eruption58.jpg
218,acne,https://www.dermaamin.com/site/images/clinical-pic/a/acne_scarring/acne_scarring13.jpg
219,squamous cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/k/keratoacanthoma/keratoacanthoma26.jpg
220,squamous cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/k/keratoacanthoma/keratoacanthoma2.jpg
221,lupus subacute,https://www.dermaamin.com/site/images/clinical-pic/s/systemic-lupus-erythematosus/systemic-lupus-erythematosus54.jpg
222,telangiectases,https://www.dermaamin.com/site/images/clinical-pic/g/glucagonoma_syndrome/glucagonoma_syndrome10.jpg
223,scleroderma,https://www.dermaamin.com/site/images/clinical-pic/s/scleredema/scleredema57.jpg
224,nematode infection,https://www.dermaamin.com/site/images/clinical-pic/c/cutaneous_larva_migrans/cutaneous_larva_migrans16.jpg
225,keratosis pilaris,https://www.dermaamin.com/site/images/clinical-pic/k/keratosis-pilaris/keratosis-pilaris3.jpg
226,solid cystic basal cell carcinoma,https://www.dermaamin.com/site/images/clinical-pic/s/solid-cysticbasalcell-carcinoma/solid-cysticbasalcell-carcinoma10.jpg
227,psoriasis,https://www.dermaamin.com/site/images/clinical-pic/p/parapsoriasis-large-plaque/parapsoriasis-large-plaque12.jpg
228,scabies,https://www.dermaamin.com/site/images/clinical-pic/a/abcess/abcess24.jpg
