,nine_partition_label,url,label
15,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum7.jpg,necrobiosis lipoidica
16,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis-of-the-skin-plaque-form/sarcoidosis-of-the-skin-plaque-form15.jpg,sarcoidosis
17,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum13.jpg,xeroderma pigmentosum
18,malignant melanoma,https://www.dermaamin.com/site/images/clinical-pic/m/melanoma/melanoma17.jpg,melanoma
19,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma13.jpg,dermatofibroma
20,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses83.jpg,actinic keratosis
21,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/localized-scleroderma/localized-scleroderma3.jpg,scleroderma
22,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa18.jpg,hidradenitis
23,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma33.jpg,syringoma
24,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/f/folliculitis/folliculitis89.jpg,folliculitis
25,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_lichenoid_chronica/pityriasis_lichenoid_chronica31.jpg,pityriasis lichenoides chronica
26,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda100.jpg,porphyria
27,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/h/hidrotic_ectodermal_dysplasia/hidrotic_ectodermal_dysplasia4.jpg,dyshidrotic eczema
28,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/r/rhus_dermatitis/rhus_dermatitis39.jpg,allergic contact dermatitis
29,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/seborrheic-dermatitis/seborrheic-dermatitis52.jpg,seborrheic dermatitis
30,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis27.jpg,prurigo nodularis
31,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/acne_aggravated_by_steroids/acne_aggravated_by_steroids7.jpg,acne
32,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome90.jpg,neurofibromatosis
33,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema99.jpg,eczema
34,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome37.jpg,neurofibromatosis
35,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pediculosis-capitis/pediculosis-capitis3.jpg,pediculosis lids
36,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma/basal_cell_carcinoma33.jpg,basal cell carcinoma
37,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rubra_pilaris/pityriasis_rubra_pilaris62.jpg,pityriasis rubra pilaris
38,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea6.jpg,pityriasis rosea
39,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/livedo-reticularis/livedo-reticularis26.jpg,livedo reticularis
40,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum55.jpg,necrobiosis lipoidica
41,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/stephen-johnson-syndrome/stephen-johnson-syndrome27.jpg,stevens johnson syndrome
42,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_multiforme/erythema_multiforme11.jpg,erythema multiforme
43,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/s/syringoma/syringoma37.jpg,syringoma
44,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/a/acrodermatitis_enteropathica/acrodermatitis_enteropathica52.jpg,acrodermatitis enteropathica
45,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/e/epidermolysis_bullosa_simplex_of_weber_cockayne_type/epidermolysis_bullosa_simplex_of_weber_cockayne_type1.jpg,epidermolysis bullosa
46,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-congenital/psoriasis-congenital4.jpg,psoriasis
47,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/p/prurigo_nodularis/prurigo_nodularis97.jpg,prurigo nodularis
48,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/dermatomyositis/dermatomyositis89.jpg,dermatomyositis
49,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/a/actinic_keratoses/actinic_keratoses26.jpg,actinic keratosis
50,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/dermographic_urticaria/dermographic_urticaria31.jpg,urticaria
51,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma_morpheiform/basal_cell_carcinoma_morpheiform6.jpg,basal cell carcinoma morpheiform
52,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/necrobiois-lipoidica-diabeticorum/necrobiois-lipoidica-diabeticorum30.jpg,necrobiosis lipoidica
53,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/v/vitiligo/vitiligo10.jpg,vitiligo
54,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/erythema-nodosum/erythema-nodosum69.jpg,erythema nodosum
55,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-pustular/psoriasis-pustular54.jpg,psoriasis
56,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_nail/psoriasis_nail84.jpg,psoriasis
57,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/scleredema/scleredema28.jpg,scleroderma
58,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/lupus_erythematosus_chronicus_verrucous/lupus_erythematosus_chronicus_verrucous11.jpg,lupus erythematosus
59,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_follicularis/lichen_planus_follicularis13.jpg,lichen planus
60,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_nail/psoriasis_nail97.jpg,psoriasis
61,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis53.jpg,allergic contact dermatitis
62,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/h/hot_water_burn/hot_water_burn1.jpg,sun damaged skin
63,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption141.jpg,drug eruption
64,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma57.jpg,dermatofibroma
65,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum14.jpg,xeroderma pigmentosum
66,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pyoderma-gangrenosum/pyoderma-gangrenosum119.jpg,neutrophilic dermatoses
67,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies43.jpg,scabies
68,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/m/melkersson-rosenthal-syndrome/melkersson-rosenthal-syndrome3.jpg,cheilitis
69,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa19.jpg,urticaria pigmentosa
70,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/b/behcets_disease/behcets_disease4.jpg,behcets disease
71,benign melanocyte,https://www.dermaamin.com/site/images/clinical-pic/n/nevocyticn-nevus/nevocyticn-nevus15.jpg,nevocytic nevus
72,malignant cutaneous lymphoma,https://www.dermaamin.com/site/images/clinical-pic/m/mycosis-fongoide/mycosis-fongoide99.jpg,mycosis fungoides
73,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda51.jpg,porphyria
74,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome53.jpg,neutrophilic dermatoses
75,malignant melanoma,https://www.dermaamin.com/site/images/clinical-pic/s/superfacial-spreading-melanoma/superfacial-spreading-melanoma112.jpg,superficial spreading melanoma ssm
76,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/p/porokeratosis_of_mibelli/porokeratosis_of_mibelli56.jpg,porokeratosis of mibelli
77,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis-genital/psoriasis-genital7.jpg,psoriasis
78,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/J/juvenile-xanthogranuloma/juvenile-xanthogranuloma57.jpg,juvenile xanthogranuloma
79,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/m/miliaria/miliaria20.jpg,milia
80,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_pyogenicum/granuloma_pyogenicum10.jpg,granuloma pyogenic
81,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/papillomatosis_confluent_reticulated/papillomatosis_confluent_reticulated18.jpg,papilomatosis confluentes and reticulate
82,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis-small-nodular-type/sarcoidosis-small-nodular-type1.jpg,sarcoidosis
83,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/neurotic-excoriations/neurotic-excoriations39.jpg,neurotic excoriations
84,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome50.jpg,neurofibromatosis
85,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/e/epidermal_naevus/epidermal_naevus53.jpg,epidermal nevus
86,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption135.jpg,drug eruption
87,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/h/hidradenitis_suppurativa/hidradenitis_suppurativa45.jpg,hidradenitis
88,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/dermatomyositis/dermatomyositis97.jpg,dermatomyositis
89,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sun-burn/sun-burn27.jpg,sun damaged skin
90,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/subacute-cutaneous-lupus-erythematosus/subacute-cutaneous-lupus-erythematosus45.jpg,lupus erythematosus
91,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/n/naevus_comedonicus/naevus_comedonicus20.jpg,naevus comedonicus
92,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_annulare_centrifugum/erythema_annulare_centrifugum19.jpg,erythema annulare centrifigum
93,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/e/eyelid_dermoid/eyelid_dermoid2.jpg,pilar cyst
94,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema48.jpg,eczema
95,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pustular_psoriasis/pustular_psoriasis25.jpg,pustular psoriasis
96,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/norwegian_scabies/norwegian_scabies65.jpg,scabies
97,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/c/carcinoma_basal_cell/carcinoma_basal_cell10.jpg,basal cell carcinoma
98,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/I/ichthyosis_vulgaris/ichthyosis_vulgaris20.jpg,ichthyosis vulgaris
99,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/lyme-disease/lyme-disease15.jpg,lyme disease
100,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/striae-distensae/striae-distensae33.jpg,striae
101,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/lupus-erythematosus-tumidus/lupus-erythematosus-tumidus1.jpg,lupus erythematosus
102,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/discoid_le/discoid_le19.jpg,sarcoidosis
103,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/r/rhinophyma/rhinophyma41.jpg,rhinophyma
104,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pseudofolliculitis-barbae/pseudofolliculitis-barbae24.jpg,folliculitis
105,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/discoid_le/discoid_le16.jpg,sarcoidosis
106,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/v/vitiligo/vitiligo39.jpg,vitiligo
107,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/X/xeroderma-pigmentosum/xeroderma-pigmentosum37.jpg,xeroderma pigmentosum
108,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/g/gorlin_syndrome/gorlin_syndrome3.jpg,basal cell carcinoma
109,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/c/calcinosis_cutis/calcinosis_cutis30.jpg,calcinosis cutis
110,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/patch-testing/patch-testing1.jpg,allergic contact dermatitis
111,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-ulcer/stasis-ulcer6.jpg,stasis edema
112,malignant dermal,https://www.dermaamin.com/site/images/clinical-pic/k/kaposis-sarcoma/kaposis-sarcoma58.jpg,kaposi sarcoma
113,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda44.jpg,porphyria
114,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/nummula-dermatitis/nummula-dermatitis22.jpg,neurodermatitis
115,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/acne_comedonal/acne_comedonal7.jpg,acne
116,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris7.jpg,acne vulgaris
117,benign melanocyte,https://www.dermaamin.com/site/images/clinical-pic/c/congential_nevus/congential_nevus55.jpg,congenital nevus
118,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/b/buerger_disease/buerger_disease4.jpg,behcets disease
119,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pyoderma-gangrenosum/pyoderma-gangrenosum72.jpg,neutrophilic dermatoses
120,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/I/infarct-vasc/infarct-vasc1.jpg,pilar cyst
121,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_migrans/erythema_migrans6.jpg,lyme disease
122,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/photoallergiccontact-dermatitis/photoallergiccontact-dermatitis11.jpg,photodermatoses
123,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/s/squamous-cell-carcinoma/squamous-cell-carcinoma94.jpg,squamous cell carcinoma
124,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/m/mononucleosis/mononucleosis2.jpg,mucinosis
125,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis42.jpg,allergic contact dermatitis
126,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/eczema_atopic/eczema_atopic38.jpg,eczema
127,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/k/keratosis-pilaris/keratosis-pilaris28.jpg,keratosis pilaris
128,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/u/urticaire/urticaire13.jpg,urticaria
129,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/c/cheloide/cheloide9.jpg,keloid
130,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sebopsoriasis/sebopsoriasis1.jpg,psoriasis
131,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/t/tuberous_sclerosis/tuberous_sclerosis93.jpg,tuberous sclerosis
132,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/c/carcinoid/carcinoid1.jpg,sarcoidosis
133,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus/lichen_planus8.jpg,lichen planus
134,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/m/miliaria/miliaria44.jpg,milia
135,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/striae-distensae/striae-distensae6.jpg,striae
136,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/h/herpes_gestationis/herpes_gestationis41.jpg,acquired autoimmune bullous diseaseherpes gestationis
137,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/c/carcinome_basocellulaire_nodulaire/carcinome_basocellulaire_nodulaire7.jpg,basal cell carcinoma
138,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/f/fixed_drug_eruption/fixed_drug_eruption36.jpg,fixed eruptions
139,malignant melanoma,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna36.jpg,lentigo maligna
140,malignant melanoma,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna64.jpg,lentigo maligna
141,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/u/urticaire/urticaire10.jpg,urticaria
142,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/r/rhinophyma/rhinophyma36.jpg,rhinophyma
143,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/neutrophilic-dermatosis/neutrophilic-dermatosis6.jpg,neutrophilic dermatoses
144,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_pyogenicum/granuloma_pyogenicum1.jpg,granuloma pyogenic
145,inflammatory,,lichen simplex
146,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/a/addison_disease/addison_disease10.jpg,dariers disease
147,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/c/creeping_neurotic_excoriations/creeping_neurotic_excoriations3.jpg,neurotic excoriations
148,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma84.jpg,dermatofibroma
149,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis98.jpg,allergic contact dermatitis
150,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/h/hot_tub_folliculitis/hot_tub_folliculitis8.jpg,folliculitis
151,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/papillomatosis-cutis-carcinoides/papillomatosis-cutis-carcinoides19.jpg,papilomatosis confluentes and reticulate
152,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/eczema_atopic/eczema_atopic31.jpg,eczema
153,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/larva-migrans/larva-migrans103.jpg,nematode infection
154,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/d/dariers_disease/dariers_disease31.jpg,dariers disease
155,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis/psoriasis78.jpg,psoriasis
156,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/p/pilar-cyst/pilar-cyst2.jpg,pilar cyst
157,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/L/lymphangioma/lymphangioma52.jpg,lymphangioma
158,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/u/urticaria-pigmentosa/urticaria-pigmentosa9.jpg,urticaria pigmentosa
159,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/n/nummula-dermatitis/nummula-dermatitis24.jpg,neurodermatitis
160,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis77.jpg,photodermatoses
161,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis_rosea/pityriasis_rosea46.jpg,pityriasis rosea
162,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/b/behcets_disease/behcets_disease41.jpg,behcets disease
163,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/h/hypopigmented_macule/hypopigmented_macule8.jpg,drug induced pigmentary changes
164,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/p/pilar-cyst/pilar-cyst5.jpg,pilar cyst
165,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/a/addison_disease/addison_disease7.jpg,dariers disease
166,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/p/pilomatrixoma/pilomatrixoma45.jpg,pilomatricoma
167,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/psoriasis_guttate/psoriasis_guttate14.jpg,psoriasis
168,malignant melanoma,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna81.jpg,lentigo maligna
169,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/systemic-lupus-erythematosus/systemic-lupus-erythematosus26.jpg,lupus subacute
170,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome82.jpg,neutrophilic dermatoses
171,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption65.jpg,drug eruption
172,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/c/chicken_pox/chicken_pox27.jpg,lichen simplex
173,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/perioral-dermatitis/perioral-dermatitis25.jpg,perioral dermatitis
174,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sarcoidosis/sarcoidosis55.jpg,sarcoidosis
175,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/d/disseminated_intravascular_coagulation/disseminated_intravascular_coagulation3.jpg,disseminated actinic porokeratosis
176,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/c/cheloide/cheloide6.jpg,keloid
177,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption155.jpg,drug eruption
178,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome64.jpg,neutrophilic dermatoses
179,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/k/keratoacanthoma/keratoacanthoma101.jpg,squamous cell carcinoma
180,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/k/kekoid/kekoid47.jpg,keloid
181,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/linear-scleroderma/linear-scleroderma13.jpg,scleroderma
182,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/erythema_elevatum_diutinum/erythema_elevatum_diutinum16.jpg,erythema elevatum diutinum
183,benign melanocyte,https://www.dermaamin.com/site/images/clinical-pic/h/halo_naevus/halo_naevus40.jpg,halo nevus
184,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/k/keratoacanthoma/keratoacanthoma93.jpg,squamous cell carcinoma
185,benign dermal,https://www.dermaamin.com/site/images/clinical-pic/d/dermatofibroma/dermatofibroma33.jpg,dermatofibroma
186,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris333.jpg,acne vulgaris
187,benign epidermal,https://www.dermaamin.com/site/images/clinical-pic/d/disseminated_superficial_actinic_porokeratosis/disseminated_superficial_actinic_porokeratosis56.jpg,disseminated actinic porokeratosis
188,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/progressive-systemic-scleroderma/progressive-systemic-scleroderma5.jpg,scleroderma
189,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/k/kekoid/kekoid115.jpg,keloid
190,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/solar-comidon/solar-comidon5.jpg,sarcoidosis
191,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis13.jpg,photodermatoses
192,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/g/generalised_pustular_psoriasis/generalised_pustular_psoriasis2.jpg,psoriasis
193,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/aplasia_cutis_congenita_circumscripta/aplasia_cutis_congenita_circumscripta37.jpg,aplasia cutis
194,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/c/carcinoma_basal_cell/carcinoma_basal_cell3.jpg,basal cell carcinoma
195,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/a/allergic_contact_dermatitis/allergic_contact_dermatitis67.jpg,allergic contact dermatitis
196,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/e/erythem_achronicum_migrans/erythem_achronicum_migrans45.jpg,lyme disease
197,genodermatoses,https://www.dermaamin.com/site/images/clinical-pic/I/incontinentia_pigmenti/incontinentia_pigmenti14.jpg,incontinentia pigmenti
198,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sturge-weber_syndrome/sturge-weber_syndrome8.jpg,neutrophilic dermatoses
199,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/sweet-syndrome/sweet-syndrome84.jpg,neutrophilic dermatoses
200,malignant epidermal,https://www.dermaamin.com/site/images/clinical-pic/b/basal_cell_carcinoma_morpheiform/basal_cell_carcinoma_morpheiform48.jpg,basal cell carcinoma morpheiform
201,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/L/lichen_planus_actinic/lichen_planus_actinic16.jpg,lichen planus
202,benign melanocyte,https://www.dermaamin.com/site/images/clinical-pic/o/ota-nevus/ota-nevus14.jpg,halo nevus
203,malignant melanoma,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna50.jpg,lentigo maligna
204,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/p/papular-urticaria/papular-urticaria6.jpg,urticaria
205,inflammatory,https://www.dermaamin.com/site/images/clinical-pic/s/stephen-johnson-syndrome/stephen-johnson-syndrome13.jpg,stevens johnson syndrome
